tinh,ma_vung,dien_tich_tinh_ha,dien_tich_o_nhiem_ha,ty_le_o_nhiem_pct,so_vu_tai_nan_2010_2022,so_nan_nhan_2010_2022,ky_tai_thu_hoi_tan_2015_2023,ghi_chu
Quảng Bình,BTB,806500,536600,66.5,238,398,3120,Trọng điểm ném bom tuyến vận tải chiến lược
Quảng Nam,NTB,1057500,556700,52.6,168,290,2340,Vùng núi ven biên giới có mật độ cao
Quảng Ngãi,NTB,515700,305000,59.1,152,262,2020,"Vùng Ba Tơ, Trà Bồng ô nhiễm nặng"
Quảng Ninh,ĐB,617700,148200,24.0,48,76,560,Ô nhiễm ven biên và ven biển
Quảng Trị,BTB,470100,382900,81.4,412,712,4820,Tỉnh ô nhiễm nặng nhất — vùng vĩ tuyến 17 và tuyến 559
Sóc Trăng,TNB,332200,42800,12.9,18,28,140,Ô nhiễm ven biển
Sơn La,TB,1417400,467700,33.0,78,124,940,Ô nhiễm trung bình
TP.Hồ Chí Minh,ĐNB,209600,26800,12.8,18,28,160,Ô nhiễm nhẹ chủ yếu Củ Chi
Thanh Hoá,BTB,1113000,391000,35.1,148,228,1520,Ô nhiễm chủ yếu ở khu vực Sầm Sơn và tuyến quốc lộ
Thái Bình,ĐBSH,158700,25400,16.0,14,22,140,Ô nhiễm ven biển
Thái Nguyên,ĐB,352700,84600,24.0,36,58,420,Ô nhiễm cục bộ
Thừa Thiên Huế,BTB,502120,342400,68.2,196,342,2680,Vùng A Sầu — A Lưới ô nhiễm đặc biệt nặng
Tiền Giang,TNB,251500,36200,14.4,16,24,120,Ô nhiễm cục bộ tuyến biên giới
Trà Vinh,TNB,235800,28900,12.3,14,22,110,Ô nhiễm cục bộ
Tuyên Quang,ĐB,586800,140800,24.0,38,60,440,Ô nhiễm cục bộ
Tây Ninh,ĐNB,440300,178300,40.5,72,112,860,Vùng biên giới ô nhiễm nặng
Vĩnh Long,TNB,152600,17100,11.2,10,14,70,Ô nhiễm thấp
Vĩnh Phúc,ĐBSH,123500,19800,16.0,12,18,120,Ô nhiễm nhẹ
Yên Bái,ĐB,689200,158500,23.0,42,68,500,Ô nhiễm cục bộ
Điện Biên,TB,955000,438300,45.9,88,138,1080,Vùng biên giới ba nước — di sản chiến dịch năm 1954
Đà Nẵng,NTB,128500,48600,37.8,86,132,780,Cửa ngõ vào tuyến vận chuyển chiến lược miền Trung
Đắk Lắk,TN,1303100,420800,32.3,102,168,1240,Vùng Buôn Hồ và biên giới Campuchia
Đắk Nông,TN,650100,214600,33.0,64,102,780,Vùng biên giới Bù Đăng ô nhiễm cao
Đồng Nai,ĐNB,586200,142400,24.3,48,74,420,"Vùng Định Quán, Tân Phú ô nhiễm cao"
Đồng Tháp,TNB,338300,52800,15.6,34,54,320,Ô nhiễm cục bộ ven biên giới Campuchia
