thu_tu_uu_tien,chi_so_o_luoi,kinh_do,vi_do,xac_suat_con_vat_no,chi_so_uu_tien,tai_trong_bom_ghi_nhan_tan,so_ho_bom_phat_hien,khoang_cach_khu_dan_cu_m,la_dat_canh_tac,da_ra_pha,ghi_chu
22,7224,107.023249,16.749228,1.0000,0.9969,0.50,0,1514,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
23,10657,106.941555,16.763617,1.0000,0.9968,0.55,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
24,34330,106.859860,16.860744,1.0000,0.9968,0.19,2,1190,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
25,12300,107.038274,16.769912,1.0000,0.9968,0.25,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
26,21656,106.940616,16.808583,1.0000,0.9967,0.65,1,1724,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
27,12094,107.051420,16.769013,1.0000,0.9967,0.36,0,1100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
28,11872,107.049542,16.768114,1.0000,0.9967,0.56,1,941,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
29,7891,107.029823,16.751926,1.0000,0.9967,0.06,0,924,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
30,10109,107.046725,16.760919,1.0000,0.9967,0.49,0,1100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
31,4746,106.968786,16.739335,1.0000,0.9966,0.22,0,583,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
32,34111,106.860799,16.859845,1.0000,0.9966,0.20,0,1131,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
33,9117,106.941555,16.757322,1.0000,0.9965,0.08,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
34,26420,106.869250,16.828368,1.0000,0.9965,0.25,4,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
35,11412,107.030762,16.766315,1.0000,0.9965,0.02,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
36,25369,106.915262,16.823872,1.0000,0.9964,0.49,2,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
37,15519,106.962213,16.783402,1.0000,0.9964,0.29,0,924,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
38,21436,106.940616,16.807684,1.0000,0.9964,0.57,1,1683,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
39,24939,106.924652,16.822073,1.0000,0.9964,0.58,0,1231,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
40,24709,106.915262,16.821174,1.0000,0.9964,0.29,1,900,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
41,14272,107.030762,16.778006,1.0000,0.9963,0.35,3,949,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
42,17048,106.951884,16.789697,1.0000,0.9963,0.10,1,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
43,10107,107.044847,16.760919,1.0000,0.9962,0.49,0,900,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
44,27189,106.971603,16.831066,1.0000,0.9961,0.29,0,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
45,19269,106.971603,16.798691,1.0000,0.9961,0.30,0,1466,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
46,7156,106.959396,16.749228,1.0000,0.9961,0.41,2,1283,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
47,3273,107.031701,16.733040,1.0000,0.9961,0.15,0,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
48,7376,106.959396,16.750127,1.0000,0.9961,0.36,3,1324,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
49,10658,106.942494,16.763617,1.0000,0.9960,0.57,1,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
50,8250,106.953762,16.753725,1.0000,0.9960,0.12,0,1573,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
51,11874,107.051420,16.768114,1.0000,0.9959,0.30,1,1141,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
52,26256,106.921835,16.827469,1.0000,0.9959,0.13,0,683,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
53,27188,106.970664,16.831066,1.0000,0.9959,0.31,3,341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
54,25544,106.873006,16.824771,1.0000,0.9959,0.24,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
55,26040,106.925591,16.826570,1.0000,0.9959,0.52,0,1124,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
56,4745,106.967847,16.739335,1.0000,0.9959,0.14,0,624,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
57,10427,106.932164,16.762718,1.0000,0.9959,0.52,2,700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
58,26477,106.922774,16.828368,1.0000,0.9959,0.16,0,741,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
59,16828,106.951884,16.788798,1.0000,0.9959,0.14,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
60,14729,107.046725,16.779805,1.0000,0.9958,0.58,1,1049,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
61,17724,106.966908,16.792395,1.0000,0.9957,0.34,4,800,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
62,19489,106.971603,16.799590,1.0000,0.9957,0.30,0,1424,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
63,1518,107.036396,16.725846,1.0000,0.9957,0.15,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
64,21657,106.941555,16.808583,1.0000,0.9956,0.61,1,1624,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
65,24938,106.923713,16.822073,1.0000,0.9956,0.48,0,1131,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
66,13833,107.031701,16.776208,1.0000,0.9954,0.35,1,766,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
67,10430,106.934981,16.762718,1.0000,0.9954,0.54,2,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
68,8895,106.939677,16.756423,1.0000,0.9954,0.24,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
69,11549,106.952823,16.767214,1.0000,0.9953,0.60,1,583,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
70,25804,106.910567,16.825670,1.0000,0.9953,0.36,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
71,12080,107.038274,16.769013,1.0000,0.9953,0.20,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
72,12954,107.032640,16.772610,1.0000,0.9952,0.83,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
73,8884,106.929347,16.756423,1.0000,0.9951,0.13,0,1249,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
74,35887,106.875823,16.867039,1.0000,0.9950,0.49,0,741,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
75,9210,107.028884,16.757322,1.0000,0.9950,0.38,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
76,11330,106.953762,16.766315,1.0000,0.9950,0.51,1,641,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
77,9114,106.938738,16.757322,1.0000,0.9950,0.39,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
78,3048,107.027006,16.732141,1.0000,0.9950,0.40,1,766,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
79,7796,106.940616,16.751926,1.0000,0.9949,0.63,0,1100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
80,26038,106.923713,16.826570,1.0000,0.9949,0.25,3,924,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
81,9431,107.029823,16.758221,1.0000,0.9949,0.27,1,341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
82,8691,106.954701,16.755523,1.0000,0.9949,0.29,0,1590,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
83,12955,107.033579,16.772610,1.0000,0.9948,0.89,0,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
84,34321,106.851409,16.860744,1.0000,0.9948,0.05,0,900,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
85,26041,106.926530,16.826570,1.0000,0.9947,0.58,1,1224,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
86,8675,106.939677,16.755523,1.0000,0.9947,0.26,0,700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
87,10425,106.930286,16.762718,1.0000,0.9946,0.34,0,900,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
88,7664,107.023249,16.751027,1.0000,0.9946,0.48,0,1373,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
89,33241,106.870189,16.856247,1.0000,0.9946,0.11,1,1590,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
90,10428,106.933103,16.762718,1.0000,0.9946,0.53,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
91,21227,106.950945,16.806785,1.0000,0.9946,0.48,3,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
92,8894,106.938738,16.756423,1.0000,0.9945,0.40,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
93,12314,107.051420,16.769912,1.0000,0.9945,0.36,0,1100,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
94,11873,107.050481,16.768114,1.0000,0.9945,0.45,0,1041,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
95,25360,106.906811,16.823872,1.0000,0.9944,0.27,2,849,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
96,12509,107.027945,16.770812,1.0000,0.9944,0.34,0,1000,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
97,6716,106.959396,16.747429,1.0000,0.9943,0.29,2,1200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
98,3276,107.034518,16.733040,1.0000,0.9943,0.24,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
99,22330,106.953762,16.811281,1.0000,0.9943,0.06,0,683,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
100,8471,106.954701,16.754624,1.0000,0.9942,0.19,0,1631,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
101,9539,106.924652,16.759120,1.0000,0.9942,0.22,0,1624,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
102,13616,107.034518,16.775308,1.0000,0.9942,0.60,3,424,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
103,3927,107.026067,16.735738,1.0000,0.9942,0.39,2,1090,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
104,11854,107.032640,16.768114,1.0000,0.9942,0.16,0,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
105,8897,106.941555,16.756423,1.0000,0.9941,0.07,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
106,7794,106.938738,16.751926,1.0000,0.9941,0.63,0,1100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
107,7795,106.939677,16.751926,1.0000,0.9941,0.64,0,1100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
108,14945,107.042969,16.780704,1.0000,0.9940,0.23,0,983,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
109,11340,106.963152,16.766315,1.0000,0.9940,0.30,9,807,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
110,28005,106.911506,16.834664,1.0000,0.9940,0.74,3,241,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
111,31057,106.885213,16.847254,1.0000,0.9940,0.62,0,1700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
112,7357,106.941555,16.750127,1.0000,0.9938,0.68,2,1300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
113,8893,106.937799,16.756423,1.0000,0.9937,0.56,0,641,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
114,35016,106.884274,16.863442,1.0000,0.9937,0.26,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
115,12735,107.033579,16.771711,1.0000,0.9936,0.74,0,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
116,25589,106.915262,16.824771,1.0000,0.9936,0.55,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
117,17941,106.964091,16.793295,1.0000,0.9935,0.31,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
118,4169,107.046725,16.736637,1.0000,0.9935,0.44,2,1473,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
119,7005,107.024188,16.748329,1.0000,0.9935,0.27,0,1573,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
120,21005,106.949067,16.805885,1.0000,0.9935,0.26,0,700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
121,9146,106.968786,16.757322,1.0000,0.9934,0.69,3,1183,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
122,2833,107.031701,16.731242,1.0000,0.9934,0.10,0,341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
123,4174,107.051420,16.736637,1.0000,0.9934,0.39,0,1973,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
124,4537,106.979115,16.738436,1.0000,0.9934,0.41,0,807,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
125,26977,106.979115,16.830167,1.0000,0.9934,0.54,0,1200,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
126,11417,107.035457,16.766315,1.0000,0.9933,0.18,0,383,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
127,13187,107.044847,16.773510,1.0000,0.9933,0.21,0,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
128,10650,106.934981,16.763617,1.0000,0.9933,0.51,4,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
129,7812,106.955640,16.751926,1.0000,0.9933,0.08,0,1807,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
130,10039,106.980993,16.760919,1.0000,0.9932,0.72,0,1790,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
131,10534,107.032640,16.762718,1.0000,0.9932,0.09,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
132,21226,106.950006,16.806785,1.0000,0.9932,0.37,2,641,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
133,10868,106.933103,16.764516,1.0000,0.9932,0.30,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
134,32785,106.855165,16.854449,1.0000,0.9932,0.19,0,283,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
135,35446,106.874884,16.865240,1.0000,0.9931,0.13,0,800,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
136,9888,107.045786,16.760020,1.0000,0.9931,0.52,2,1000,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
137,10866,106.931225,16.764516,1.0000,0.9931,0.20,0,800,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
138,7158,106.961274,16.749228,1.0000,0.9930,0.49,5,1083,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
139,26693,106.919018,16.829268,1.0000,0.9930,0.49,2,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
140,25601,106.926530,16.824771,1.0000,0.9930,0.63,0,1307,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
141,3268,107.027006,16.733040,1.0000,0.9930,0.42,2,807,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
142,24282,106.927469,16.819375,1.0000,0.9929,0.52,1,1656,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
143,7573,106.937799,16.751027,1.0000,0.9929,0.64,0,1241,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
144,9820,106.981933,16.760020,1.0000,0.9929,0.85,2,1731,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
145,3727,107.044847,16.734839,1.0000,0.9929,0.73,0,1190,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
146,9878,107.036396,16.760020,1.0000,0.9928,0.60,1,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
147,10436,106.940616,16.762718,1.0000,0.9927,0.62,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
148,12519,107.037335,16.770812,1.0000,0.9926,0.52,2,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
149,9819,106.980993,16.760020,1.0000,0.9926,0.64,1,1690,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
150,11634,107.032640,16.767214,1.0000,0.9926,0.09,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
151,9797,106.960335,16.760020,1.0000,0.9925,0.58,1,1383,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
152,26037,106.922774,16.826570,1.0000,0.9925,0.18,0,824,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
153,35888,106.876762,16.867039,1.0000,0.9924,0.65,0,641,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
154,9319,106.924652,16.758221,1.0000,0.9924,0.21,0,1666,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
155,19046,106.968786,16.797791,1.0000,0.9924,0.08,0,1166,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
156,21225,106.949067,16.806785,1.0000,0.9924,0.29,0,741,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
157,12518,107.036396,16.770812,1.0000,0.9924,0.55,1,100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
158,24941,106.926530,16.822073,1.0000,0.9924,0.68,4,1431,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
159,27121,106.907750,16.831066,1.0000,0.9924,0.32,1,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
160,3503,107.041091,16.733939,1.0000,0.9924,0.62,1,807,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
161,11432,107.049542,16.766315,1.0000,0.9923,0.33,0,1024,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
162,13617,107.035457,16.775308,1.0000,0.9922,0.66,0,383,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
163,27122,106.908689,16.831066,1.0000,0.9922,0.29,1,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
164,2838,107.036396,16.731242,1.0000,0.9922,0.64,3,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
165,24722,106.927469,16.821174,1.0000,0.9922,0.63,0,1573,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
166,7135,106.939677,16.749228,1.0000,0.9921,0.62,0,1400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
167,21244,106.966908,16.806785,1.0000,0.9920,0.50,0,841,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
168,10903,106.965969,16.764516,1.0000,0.9920,0.51,0,1131,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
169,16840,106.963152,16.788798,1.0000,0.9920,0.65,3,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
170,9116,106.940616,16.757322,1.0000,0.9919,0.13,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
171,11652,107.049542,16.767214,1.0000,0.9919,0.44,0,983,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
172,10479,106.980993,16.762718,1.0000,0.9918,0.81,2,1990,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
173,19039,106.962213,16.797791,1.0000,0.9918,0.19,0,524,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
174,13396,107.034518,16.774409,1.0000,0.9917,0.84,0,383,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
175,21464,106.966908,16.807684,1.0000,0.9917,0.58,0,883,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
176,26976,106.978176,16.830167,1.0000,0.9917,0.59,0,1100,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
177,2607,107.026067,16.730342,1.0000,0.9917,0.66,1,783,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
178,10431,106.935920,16.762718,1.0000,0.9916,0.52,2,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
179,23008,106.970664,16.813979,1.0000,0.9916,0.64,0,1524,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
180,10762,107.040152,16.763617,1.0000,0.9916,0.24,0,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
181,10214,106.938738,16.761818,1.0000,0.9916,0.54,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
182,34771,106.860799,16.862542,1.0000,0.9915,0.25,1,1431,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
183,34323,106.853287,16.860744,1.0000,0.9915,0.06,0,900,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
184,2617,107.035457,16.730342,1.0000,0.9915,0.49,1,200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
185,9328,106.933103,16.758221,1.0000,0.9915,0.50,0,766,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
186,4355,107.014798,16.737537,1.0000,0.9915,0.49,2,2314,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
187,27779,106.905872,16.833764,1.0000,0.9914,0.53,1,741,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
188,21655,106.939677,16.808583,1.0000,0.9914,0.55,2,1824,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
189,31275,106.883335,16.848153,1.0000,0.9913,0.47,0,1600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
190,2839,107.037335,16.731242,1.0000,0.9913,0.83,1,341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
191,13397,107.035457,16.774409,1.0000,0.9913,0.92,0,283,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
192,33449,106.858921,16.857147,1.0000,0.9913,0.24,0,807,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
193,9796,106.959396,16.760020,1.0000,0.9912,0.51,2,1341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
194,4358,107.017615,16.737537,1.0000,0.9912,0.36,1,2014,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
195,10981,107.039213,16.764516,1.0000,0.9912,0.25,0,383,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
196,22788,106.970664,16.813080,1.0000,0.9912,0.55,0,1531,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
197,30835,106.883335,16.846355,1.0000,0.9912,0.65,0,1800,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
198,8903,106.947189,16.756423,1.0000,0.9912,0.48,0,807,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
199,31056,106.884274,16.847254,1.0000,0.9911,0.62,0,1700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
200,9629,107.009164,16.759120,1.0000,0.9911,0.81,2,2500,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
201,4168,107.045786,16.736637,1.0000,0.9911,0.61,4,1373,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
202,26475,106.920896,16.828368,1.0000,0.9910,0.15,2,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
203,2618,107.036396,16.730342,1.0000,0.9910,0.73,1,200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
204,9567,106.950945,16.759120,1.0000,0.9909,0.18,0,1024,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
205,26758,106.980054,16.829268,1.0000,0.9908,0.51,0,1300,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
206,31274,106.882396,16.848153,1.0000,0.9908,0.48,0,1600,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
